*** Start ***
*** SYS ARGS ***
Monte carlo runs       N : 5
Sensor row length    s_n : 14
Sensor row spacing   s_d : 20 m
Sampling period        T : 250 s
>> BEGINNING MC
>> MC0
*** Initializing sensors ***
*** Initializing grid ***
Grid dimensions: (260, 260) m
>> Sensor 39 coordinates: (-90.0, 90.0)
>> Sensor 40 coordinates: (-90.0, 110.0)
>> Sensor 41 coordinates: (-90.0, 130.0)
>> Sensor 42 coordinates: (-70.0, -130.0)
>> Sensor 43 coordinates: (-70.0, -110.0)
>> Sensor 44 coordinates: (-70.0, -90.0)
>> Sensor 45 coordinates: (-70.0, -70.0)
>> Sensor 46 coordinates: (-70.0, -50.0)
>> Sensor 47 coordinates: (-70.0, -30.0)
>> Sensor 48 coordinates: (-70.0, -10.0)
>> Sensor 49 coordinates: (-70.0, 10.0)
>> Sensor 50 coordinates: (-70.0, 30.0)
>> Sensor 51 coordinates: (-70.0, 50.0)
>> Sensor 52 coordinates: (-70.0, 70.0)
>> Sensor 53 coordinates: (-70.0, 90.0)
>> Sensor 54 coordinates: (-70.0, 110.0)
>> Sensor 55 coordinates: (-70.0, 130.0)
>> Sensor 56 coordinates: (-50.0, -130.0)
>> Sensor 57 coordinates: (-50.0, -110.0)
>> Sensor 58 coordinates: (-50.0, -90.0)
>> Sensor 59 coordinates: (-50.0, -70.0)
>> Sensor 60 coordinates: (-50.0, -50.0)
>> Sensor 61 coordinates: (-50.0, -30.0)
>> Sensor 62 coordinates: (-50.0, -10.0)
>> Sensor 63 coordinates: (-50.0, 10.0)
>> Sensor 64 coordinates: (-50.0, 30.0)
>> Sensor 65 coordinates: (-50.0, 50.0)
>> Sensor 66 coordinates: (-50.0, 70.0)
>> Sensor 67 coordinates: (-50.0, 90.0)
>> Sensor 68 coordinates: (-50.0, 110.0)
>> Sensor 69 coordinates: (-50.0, 130.0)
>> Sensor 70 coordinates: (-30.0, -130.0)
>> Sensor 71 coordinates: (-30.0, -110.0)
>> Sensor 72 coordinates: (-30.0, -90.0)
>> Sensor 73 coordinates: (-30.0, -70.0)
>> Sensor 74 coordinates: (-30.0, -50.0)
>> Sensor 75 coordinates: (-30.0, -30.0)
>> Sensor 76 coordinates: (-30.0, -10.0)
>> Sensor 77 coordinates: (-30.0, 10.0)
>> Sensor 78 coordinates: (-30.0, 30.0)
>> Sensor 79 coordinates: (-30.0, 50.0)
>> Sensor 80 coordinates: (-30.0, 70.0)
>> Sensor 81 coordinates: (-30.0, 90.0)
>> Sensor 82 coordinates: (-30.0, 110.0)
>> Sensor 83 coordinates: (-30.0, 130.0)
>> Sensor 84 coordinates: (-10.0, -130.0)
>> Sensor 85 coordinates: (-10.0, -110.0)
>> Sensor 86 coordinates: (-10.0, -90.0)
>> Sensor 87 coordinates: (-10.0, -70.0)
>> Sensor 88 coordinates: (-10.0, -50.0)
>> Sensor 89 coordinates: (-10.0, -30.0)
>> Sensor 90 coordinates: (-10.0, -10.0)
>> Sensor 91 coordinates: (-10.0, 10.0)
>> Sensor 92 coordinates: (-10.0, 30.0)
>> Sensor 93 coordinates: (-10.0, 50.0)
>> Sensor 94 coordinates: (-10.0, 70.0)
>> Sensor 95 coordinates: (-10.0, 90.0)
>> Sensor 96 coordinates: (-10.0, 110.0)
>> Sensor 97 coordinates: (-10.0, 130.0)
>> Sensor 98 coordinates: (10.0, -130.0)
>> Sensor 99 coordinates: (10.0, -110.0)
>> Sensor 100 coordinates: (10.0, -90.0)
>> Sensor 101 coordinates: (10.0, -70.0)
>> Sensor 102 coordinates: (10.0, -50.0)
>> Sensor 103 coordinates: (10.0, -30.0)
>> Sensor 104 coordinates: (10.0, -10.0)
>> Sensor 105 coordinates: (10.0, 10.0)
>> Sensor 106 coordinates: (10.0, 30.0)
>> Sensor 107 coordinates: (10.0, 50.0)
>> Sensor 108 coordinates: (10.0, 70.0)
>> Sensor 109 coordinates: (10.0, 90.0)
>> Sensor 110 coordinates: (10.0, 110.0)
>> Sensor 111 coordinates: (10.0, 130.0)
>> Sensor 112 coordinates: (30.0, -130.0)
>> Sensor 113 coordinates: (30.0, -110.0)
>> Sensor 114 coordinates: (30.0, -90.0)
>> Sensor 115 coordinates: (30.0, -70.0)
>> Sensor 116 coordinates: (30.0, -50.0)
>> Sensor 117 coordinates: (30.0, -30.0)
>> Sensor 118 coordinates: (30.0, -10.0)
>> Sensor 119 coordinates: (30.0, 10.0)
>> Sensor 120 coordinates: (30.0, 30.0)
>> Sensor 121 coordinates: (30.0, 50.0)
>> Sensor 122 coordinates: (30.0, 70.0)
>> Sensor 123 coordinates: (30.0, 90.0)
>> Sensor 124 coordinates: (30.0, 110.0)
>> Sensor 125 coordinates: (30.0, 130.0)
>> Sensor 126 coordinates: (50.0, -130.0)
>> Sensor 127 coordinates: (50.0, -110.0)
>> Sensor 128 coordinates: (50.0, -90.0)
>> Sensor 129 coordinates: (50.0, -70.0)
>> Sensor 130 coordinates: (50.0, -50.0)
>> Sensor 131 coordinates: (50.0, -30.0)
>> Sensor 132 coordinates: (50.0, -10.0)
>> Sensor 133 coordinates: (50.0, 10.0)
>> Sensor 134 coordinates: (50.0, 30.0)
>> Sensor 135 coordinates: (50.0, 50.0)
>> Sensor 136 coordinates: (50.0, 70.0)
>> Sensor 137 coordinates: (50.0, 90.0)
>> Sensor 138 coordinates: (50.0, 110.0)
>> Sensor 139 coordinates: (50.0, 130.0)
>> Sensor 140 coordinates: (70.0, -130.0)
>> Sensor 141 coordinates: (70.0, -110.0)
>> Sensor 142 coordinates: (70.0, -90.0)
>> Sensor 143 coordinates: (70.0, -70.0)
>> Sensor 144 coordinates: (70.0, -50.0)
>> Sensor 145 coordinates: (70.0, -30.0)
>> Sensor 146 coordinates: (70.0, -10.0)
>> Sensor 147 coordinates: (70.0, 10.0)
>> Sensor 148 coordinates: (70.0, 30.0)
>> Sensor 149 coordinates: (70.0, 50.0)
>> Sensor 150 coordinates: (70.0, 70.0)
>> Sensor 151 coordinates: (70.0, 90.0)
>> Sensor 152 coordinates: (70.0, 110.0)
>> Sensor 153 coordinates: (70.0, 130.0)
>> Sensor 154 coordinates: (90.0, -130.0)
>> Sensor 155 coordinates: (90.0, -110.0)
>> Sensor 156 coordinates: (90.0, -90.0)
>> Sensor 157 coordinates: (90.0, -70.0)
>> Sensor 158 coordinates: (90.0, -50.0)
>> Sensor 159 coordinates: (90.0, -30.0)
>> Sensor 160 coordinates: (90.0, -10.0)
>> Sensor 161 coordinates: (90.0, 10.0)
>> Sensor 162 coordinates: (90.0, 30.0)
>> Sensor 163 coordinates: (90.0, 50.0)
>> Sensor 164 coordinates: (90.0, 70.0)
>> Sensor 165 coordinates: (90.0, 90.0)
>> Sensor 166 coordinates: (90.0, 110.0)
>> Sensor 167 coordinates: (90.0, 130.0)
>> Sensor 168 coordinates: (110.0, -130.0)
>> Sensor 169 coordinates: (110.0, -110.0)
>> Sensor 170 coordinates: (110.0, -90.0)
>> Sensor 171 coordinates: (110.0, -70.0)
>> Sensor 172 coordinates: (110.0, -50.0)
>> Sensor 173 coordinates: (110.0, -30.0)
>> Sensor 174 coordinates: (110.0, -10.0)
>> Sensor 175 coordinates: (110.0, 10.0)
>> Sensor 176 coordinates: (110.0, 30.0)
>> Sensor 177 coordinates: (110.0, 50.0)
>> Sensor 178 coordinates: (110.0, 70.0)
>> Sensor 179 coordinates: (110.0, 90.0)
>> Sensor 180 coordinates: (110.0, 110.0)
>> Sensor 181 coordinates: (110.0, 130.0)
>> Sensor 182 coordinates: (130.0, -130.0)
>> Sensor 183 coordinates: (130.0, -110.0)
>> Sensor 184 coordinates: (130.0, -90.0)
>> Sensor 185 coordinates: (130.0, -70.0)
>> Sensor 186 coordinates: (130.0, -50.0)
>> Sensor 187 coordinates: (130.0, -30.0)
>> Sensor 188 coordinates: (130.0, -10.0)
>> Sensor 189 coordinates: (130.0, 10.0)
>> Sensor 190 coordinates: (130.0, 30.0)
>> Sensor 191 coordinates: (130.0, 50.0)
>> Sensor 192 coordinates: (130.0, 70.0)
>> Sensor 193 coordinates: (130.0, 90.0)
>> Sensor 194 coordinates: (130.0, 110.0)
>> Sensor 195 coordinates: (130.0, 130.0)
*** Initializing fusion center ***
*** Initializing grid ***
Grid dimensions: (280, 280) m
Grid origin: (0, 0) m
Grid ticks: 0.5 m
Grid type: custom
*** Beginning sampling process ***
>> t=0
>> Sensor 0 sampling
>> Sensor 1 sampling
>> Sensor 2 sampling
>> Sensor 3 sampling
>> Sensor 4 sampling
>> Sensor 5 sampling
>> Sensor 6 sampling
>> Sensor 7 sampling
>> Sensor 8 sampling
>> Sensor 9 sampling
>> Sensor 10 sampling
>> Sensor 11 sampling
>> Sensor 12 sampling
>> Sensor 13 sampling
>> Sensor 14 sampling
>> Sensor 15 sampling
>> Sensor 16 sampling
>> Sensor 17 sampling
>> Sensor 18 sampling
>> Sensor 19 sampling
>> Sensor 20 sampling
>> Sensor 21 sampling
>> Sensor 22 sampling
>> Sensor 23 sampling
>> Sensor 24 sampling
>> Sensor 25 sampling
>> Sensor 26 sampling
>> Sensor 27 sampling
>> Sensor 28 sampling
>> Sensor 29 sampling
>> Sensor 30 sampling
>> Sensor 31 sampling
>> Sensor 32 sampling
>> Sensor 33 sampling
>> Sensor 34 sampling
>> Sensor 35 sampling
>> Sensor 36 sampling
>> Sensor 37 sampling
>> Sensor 38 sampling
>> Sensor 39 sampling
>> Sensor 40 sampling
>> Sensor 41 sampling
>> Sensor 42 sampling
>> Sensor 43 sampling
>> Sensor 44 sampling
>> Sensor 45 sampling
>> Sensor 46 sampling
>> Sensor 47 sampling
>> Sensor 48 sampling
>> Sensor 49 sampling
>> Sensor 50 sampling
>> Sensor 51 sampling
>> Sensor 52 sampling
>> Sensor 53 sampling
>> Sensor 54 sampling
>> Sensor 55 sampling
>> Sensor 56 sampling
>> Sensor 57 sampling
>> Sensor 58 sampling
>> Sensor 59 sampling
>> Sensor 60 sampling
>> Sensor 61 sampling
>> Sensor 62 sampling
>> Sensor 63 sampling
>> Sensor 64 sampling
>> Sensor 65 sampling
>> Sensor 66 sampling
>> Sensor 67 sampling
>> Sensor 68 sampling
>> Sensor 69 sampling
>> Sensor 70 sampling
>> Sensor 71 sampling
>> Sensor 72 sampling
>> Sensor 73 sampling
>> Sensor 74 sampling
>> Sensor 75 sampling
>> Sensor 76 sampling
>> Sensor 77 sampling
>> Sensor 78 sampling
>> Sensor 79 sampling
>> Sensor 80 sampling
>> Sensor 81 sampling
>> Sensor 82 sampling
>> Sensor 83 sampling
>> Sensor 84 sampling
>> Sensor 85 sampling
>> Sensor 86 sampling
>> Sensor 87 sampling
>> Sensor 88 sampling
>> Sensor 89 sampling
>> Sensor 90 sampling
>> Sensor 91 sampling
>> Sensor 92 sampling
>> Sensor 93 sampling
>> Sensor 94 sampling
>> Sensor 95 sampling
>> Sensor 96 sampling
>> Sensor 97 sampling
>> Sensor 98 sampling
>> Sensor 99 sampling
>> Sensor 100 sampling
>> Sensor 101 sampling
>> Sensor 102 sampling
>> Sensor 103 sampling
>> Sensor 104 sampling
>> Sensor 105 sampling
>> Sensor 106 sampling
>> Sensor 107 sampling
>> Sensor 108 sampling
>> Sensor 109 sampling
>> Sensor 110 sampling
>> Sensor 111 sampling
>> Sensor 112 sampling
>> Sensor 113 sampling
>> Sensor 114 sampling
>> Sensor 115 sampling
>> Sensor 116 sampling
>> Sensor 117 sampling
>> Sensor 118 sampling
>> Sensor 119 sampling
>> Sensor 120 sampling
>> Sensor 121 sampling
>> Sensor 122 sampling
>> Sensor 123 sampling
>> Sensor 124 sampling
>> Sensor 125 sampling
>> Sensor 126 sampling
>> Sensor 127 sampling
>> Sensor 128 sampling
>> Sensor 129 sampling
>> Sensor 130 sampling
>> Sensor 131 sampling
>> Sensor 132 sampling
>> Sensor 133 sampling
>> Sensor 134 sampling
>> Sensor 135 sampling
>> Sensor 136 sampling
>> Sensor 137 sampling
>> Sensor 138 sampling
>> Sensor 139 sampling
>> Sensor 140 sampling
>> Sensor 141 sampling
>> Sensor 142 sampling
>> Sensor 143 sampling
>> Sensor 144 sampling
>> Sensor 145 sampling
>> Sensor 146 sampling
>> Sensor 147 sampling
>> Sensor 148 sampling
>> Sensor 149 sampling
>> Sensor 150 sampling
>> Sensor 151 sampling
>> Sensor 152 sampling
>> Sensor 153 sampling
>> Sensor 154 sampling
>> Sensor 155 sampling
>> Sensor 156 sampling
>> Sensor 157 sampling
>> Sensor 158 sampling
>> Sensor 159 sampling
>> Sensor 160 sampling
>> Sensor 161 sampling
>> Sensor 162 sampling
>> Sensor 163 sampling
>> Sensor 164 sampling
>> Sensor 165 sampling
>> Sensor 166 sampling
>> Sensor 167 sampling
>> Sensor 168 sampling
>> Sensor 169 sampling
>> Sensor 170 sampling
>> Sensor 171 sampling
>> Sensor 172 sampling
>> Sensor 173 sampling
>> Sensor 174 sampling
>> Sensor 175 sampling
>> Sensor 176 sampling
>> Sensor 177 sampling
>> Sensor 178 sampling
>> Sensor 179 sampling
>> Sensor 180 sampling
>> Sensor 181 sampling
>> Sensor 182 sampling
>> Sensor 183 sampling
>> Sensor 184 sampling
>> Sensor 185 sampling
>> Sensor 186 sampling
>> Sensor 187 sampling
>> Sensor 188 sampling
>> Sensor 189 sampling
>> Sensor 190 sampling
>> Sensor 191 sampling
>> Sensor 192 sampling
>> Sensor 193 sampling
>> Sensor 194 sampling
>> Sensor 195 sampling
>> t=1
>> Sensor 0 sampling
>> Sensor 1 sampling
>> Sensor 2 sampling
>> Sensor 3 sampling
>> Sensor 4 sampling
>> Sensor 5 sampling
>> Sensor 6 sampling
>> Sensor 7 sampling
>> Sensor 8 sampling
>> Sensor 9 sampling
>> Sensor 10 sampling
>> Sensor 11 sampling
>> Sensor 12 sampling
>> Sensor 13 sampling
>> Sensor 14 sampling
>> Sensor 15 sampling
>> Sensor 16 sampling
>> Sensor 17 sampling
>> Sensor 18 sampling
>> Sensor 19 sampling
>> Sensor 20 sampling
>> Sensor 21 sampling
>> Sensor 22 sampling
>> Sensor 23 sampling
>> Sensor 24 sampling
>> Sensor 25 sampling
>> Sensor 26 sampling
>> Sensor 27 sampling
>> Sensor 28 sampling
>> Sensor 29 sampling
>> Sensor 30 sampling
>> Sensor 31 sampling
>> Sensor 32 sampling
>> Sensor 33 sampling
>> Sensor 34 sampling
>> Sensor 35 sampling
>> Sensor 36 sampling
>> Sensor 37 sampling
>> Sensor 38 sampling
>> Sensor 39 sampling
>> Sensor 40 sampling
>> Sensor 41 sampling
>> Sensor 42 sampling
>> Sensor 43 sampling
>> Sensor 44 sampling
>> Sensor 45 sampling
>> Sensor 46 sampling
>> Sensor 47 sampling
>> Sensor 48 sampling
>> Sensor 49 sampling
>> Sensor 50 sampling
>> Sensor 51 sampling
>> Sensor 52 sampling
>> Sensor 53 sampling
>> Sensor 54 sampling
>> Sensor 55 sampling
>> Sensor 56 sampling
>> Sensor 57 sampling
>> Sensor 58 sampling
>> Sensor 59 sampling
>> Sensor 60 sampling
>> Sensor 61 sampling
>> Sensor 62 sampling
>> Sensor 63 sampling
>> Sensor 64 sampling
>> Sensor 65 sampling
>> Sensor 66 sampling
>> Sensor 67 sampling
>> Sensor 68 sampling
>> Sensor 69 sampling
>> Sensor 70 sampling
>> Sensor 71 sampling
>> Sensor 72 sampling
>> Sensor 73 sampling
>> Sensor 74 sampling
>> Sensor 75 sampling
>> Sensor 76 sampling
>> Sensor 77 sampling
>> Sensor 78 sampling
>> Sensor 79 sampling
>> Sensor 80 sampling
>> Sensor 81 sampling
>> Sensor 82 sampling
>> Sensor 83 sampling
>> Sensor 84 sampling
>> Sensor 85 sampling
>> Sensor 86 sampling
>> Sensor 87 sampling
>> Sensor 88 sampling
>> Sensor 89 sampling
>> Sensor 90 sampling
>> Sensor 91 sampling
>> Sensor 92 sampling
>> Sensor 93 sampling
>> Sensor 94 sampling
>> Sensor 95 sampling
>> Sensor 96 sampling
>> Sensor 97 sampling
>> Sensor 98 sampling
>> Sensor 99 sampling
>> Sensor 100 sampling
>> Sensor 101 sampling
>> Sensor 102 sampling
>> Sensor 103 sampling
>> Sensor 104 sampling
>> Sensor 105 sampling
>> Sensor 106 sampling
>> Sensor 107 sampling
>> Sensor 108 sampling
>> Sensor 109 sampling
>> Sensor 110 sampling
>> Sensor 111 sampling
>> Sensor 112 sampling
>> Sensor 113 sampling
>> Sensor 114 sampling
>> Sensor 115 sampling
>> Sensor 116 sampling
>> Sensor 117 sampling
>> Sensor 118 sampling
>> Sensor 119 sampling
>> Sensor 120 sampling
>> Sensor 121 sampling
>> Sensor 122 sampling
>> Sensor 123 sampling
>> Sensor 124 sampling
>> Sensor 125 sampling
>> Sensor 126 sampling
>> Sensor 127 sampling
>> Sensor 128 sampling
>> Sensor 129 sampling
>> Sensor 130 sampling
>> Sensor 131 sampling
>> Sensor 132 sampling
>> Sensor 133 sampling
>> Sensor 134 sampling
>> Sensor 135 sampling
>> Sensor 136 sampling
>> Sensor 137 sampling
>> Sensor 138 sampling
>> Sensor 139 sampling
>> Sensor 140 sampling
>> Sensor 141 sampling
>> Sensor 142 sampling
>> Sensor 143 sampling
>> Sensor 144 sampling
>> Sensor 145 sampling
>> Sensor 146 sampling
>> Sensor 147 sampling
>> Sensor 148 sampling
>> Sensor 149 sampling
>> Sensor 150 sampling
>> Sensor 151 sampling
>> Sensor 152 sampling
>> Sensor 153 sampling
>> Sensor 154 sampling
>> Sensor 155 sampling
>> Sensor 156 sampling
>> Sensor 157 sampling
>> Sensor 158 sampling
>> Sensor 159 sampling
>> Sensor 160 sampling
>> Sensor 161 sampling
>> Sensor 162 sampling
>> Sensor 163 sampling
>> Sensor 164 sampling
>> Sensor 165 sampling
>> Sensor 166 sampling
>> Sensor 167 sampling
>> Sensor 168 sampling
>> Sensor 169 sampling
>> Sensor 170 sampling
>> Sensor 171 sampling
>> Sensor 172 sampling
>> Sensor 173 sampling
>> Sensor 174 sampling
>> Sensor 175 sampling
>> Sensor 176 sampling
>> Sensor 177 sampling
>> Sensor 178 sampling
>> Sensor 179 sampling
>> Sensor 180 sampling
>> Sensor 181 sampling
>> Sensor 182 sampling
>> Sensor 183 sampling
>> Sensor 184 sampling
>> Sensor 185 sampling
>> Sensor 186 sampling
>> Sensor 187 sampling
>> Sensor 188 sampling
>> Sensor 189 sampling
>> Sensor 190 sampling
>> Sensor 191 sampling
>> Sensor 192 sampling
>> Sensor 193 sampling
>> Sensor 194 sampling
>> Sensor 195 sampling
>> t=2
>> Sensor 0 sampling
>> Sensor 1 sampling
>> Sensor 2 sampling
>> Sensor 3 sampling
>> Sensor 4 sampling
>> Sensor 5 sampling
>> Sensor 6 sampling
>> Sensor 7 sampling
>> Sensor 8 sampling
>> Sensor 9 sampling
>> Sensor 10 sampling
>> Sensor 11 sampling
>> Sensor 12 sampling
>> Sensor 13 sampling
>> Sensor 14 sampling
>> Sensor 15 sampling
>> Sensor 16 sampling
>> Sensor 17 sampling
>> Sensor 18 sampling
>> Sensor 19 sampling
>> Sensor 20 sampling
>> Sensor 21 sampling
>> Sensor 22 sampling
>> Sensor 23 sampling
>> Sensor 24 sampling
>> Sensor 25 sampling
>> Sensor 26 sampling
>> Sensor 27 sampling
>> Sensor 28 sampling
>> Sensor 29 sampling
>> Sensor 30 sampling
>> Sensor 31 sampling
>> Sensor 32 sampling
>> Sensor 33 sampling
>> Sensor 34 sampling
>> Sensor 35 sampling
>> Sensor 36 sampling
>> Sensor 37 sampling
>> Sensor 38 sampling
>> Sensor 39 sampling
>> Sensor 40 sampling
>> Sensor 41 sampling
>> Sensor 42 sampling
>> Sensor 43 sampling
>> Sensor 44 sampling
>> Sensor 45 sampling
>> Sensor 46 sampling
>> Sensor 47 sampling
>> Sensor 48 sampling
>> Sensor 49 sampling
>> Sensor 50 sampling
>> Sensor 51 sampling
>> Sensor 52 sampling
>> Sensor 53 sampling
>> Sensor 54 sampling
>> Sensor 55 sampling
>> Sensor 56 sampling
>> Sensor 57 sampling
>> Sensor 58 sampling
>> Sensor 59 sampling
>> Sensor 60 sampling
>> Sensor 61 sampling
>> Sensor 62 sampling
>> Sensor 63 sampling
>> Sensor 64 sampling
>> Sensor 65 sampling
>> Sensor 66 sampling
>> Sensor 67 sampling
>> Sensor 68 sampling
>> Sensor 69 sampling
>> Sensor 70 sampling
>> Sensor 71 sampling
>> Sensor 72 sampling
>> Sensor 73 sampling
>> Sensor 74 sampling
>> Sensor 75 sampling
>> Sensor 76 sampling
>> Sensor 77 sampling
>> Sensor 78 sampling
>> Sensor 79 sampling
>> Sensor 80 sampling
>> Sensor 81 sampling
>> Sensor 82 sampling
>> Sensor 83 sampling
>> Sensor 84 sampling
>> Sensor 85 sampling
>> Sensor 86 sampling
>> Sensor 87 sampling
>> Sensor 88 sampling
>> Sensor 89 sampling
>> Sensor 90 sampling
>> Sensor 91 sampling
>> Sensor 92 sampling
>> Sensor 93 sampling
>> Sensor 94 sampling
>> Sensor 95 sampling
>> Sensor 96 sampling
>> Sensor 97 sampling
>> Sensor 98 sampling
>> Sensor 99 sampling
>> Sensor 100 sampling
>> Sensor 101 sampling
>> Sensor 102 sampling
>> Sensor 103 sampling
>> Sensor 104 sampling
>> Sensor 105 sampling
>> Sensor 106 sampling
>> Sensor 107 sampling
>> Sensor 108 sampling
>> Sensor 109 sampling
>> Sensor 110 sampling
>> Sensor 111 sampling
>> Sensor 112 sampling
>> Sensor 113 sampling
>> Sensor 114 sampling
>> Sensor 115 sampling
>> Sensor 116 sampling
>> Sensor 117 sampling
>> Sensor 118 sampling
>> Sensor 119 sampling
>> Sensor 120 sampling
>> Sensor 121 sampling
>> Sensor 122 sampling
>> Sensor 123 sampling
>> Sensor 124 sampling
>> Sensor 125 sampling
>> Sensor 126 sampling
>> Sensor 127 sampling
>> Sensor 128 sampling
>> Sensor 129 sampling
>> Sensor 130 sampling
>> Sensor 131 sampling
>> Sensor 132 sampling
>> Sensor 133 sampling
>> Sensor 134 sampling
>> Sensor 135 sampling
>> Sensor 136 sampling
>> Sensor 137 sampling
>> Sensor 138 sampling
>> Sensor 139 sampling
>> Sensor 140 sampling
>> Sensor 141 sampling
>> Sensor 142 sampling
>> Sensor 143 sampling
>> Sensor 144 sampling
>> Sensor 145 sampling
>> Sensor 146 sampling
>> Sensor 147 sampling
>> Sensor 148 sampling
>> Sensor 149 sampling
>> Sensor 150 sampling
>> Sensor 151 sampling
>> Sensor 152 sampling
>> Sensor 153 sampling
>> Sensor 154 sampling
>> Sensor 155 sampling
>> Sensor 156 sampling
>> Sensor 157 sampling
>> Sensor 158 sampling
>> Sensor 159 sampling
>> Sensor 160 sampling
>> Sensor 161 sampling
>> Sensor 162 sampling
>> Sensor 163 sampling
>> Sensor 164 sampling
>> Sensor 165 sampling
>> Sensor 166 sampling
>> Sensor 167 sampling
>> Sensor 168 sampling
>> Sensor 169 sampling
>> Sensor 170 sampling
>> Sensor 171 sampling
>> Sensor 172 sampling
>> Sensor 173 sampling
>> Sensor 174 sampling
>> Sensor 175 sampling
>> Sensor 176 sampling
>> Sensor 177 sampling
>> Sensor 178 sampling
>> Sensor 179 sampling
>> Sensor 180 sampling
>> Sensor 181 sampling
>> Sensor 182 sampling
>> Sensor 183 sampling
>> Sensor 184 sampling
>> Sensor 185 sampling
>> Sensor 186 sampling
>> Sensor 187 sampling
>> Sensor 188 sampling
>> Sensor 189 sampling
>> Sensor 190 sampling
>> Sensor 191 sampling
>> Sensor 192 sampling
>> Sensor 193 sampling
>> Sensor 194 sampling
>> Sensor 195 sampling
>> t=3
>> Sensor 0 sampling
>> Sensor 1 sampling
>> Sensor 2 sampling
>> Sensor 3 sampling
>> Sensor 4 sampling
>> Sensor 5 sampling
>> Sensor 6 sampling
>> Sensor 7 sampling
>> Sensor 8 sampling
>> Sensor 9 sampling
>> Sensor 10 sampling
>> Sensor 11 sampling
>> Sensor 12 sampling
>> Sensor 13 sampling
>> Sensor 14 sampling
>> Sensor 15 sampling
>> Sensor 16 sampling
>> Sensor 17 sampling
>> Sensor 18 sampling
>> Sensor 19 sampling
>> Sensor 20 sampling
>> Sensor 21 sampling
>> Sensor 22 sampling
>> Sensor 23 sampling
>> Sensor 24 sampling
>> Sensor 25 sampling
>> Sensor 26 sampling
>> Sensor 27 sampling
>> Sensor 28 sampling
>> Sensor 29 sampling
>> Sensor 30 sampling
>> Sensor 31 sampling
>> Sensor 32 sampling
>> Sensor 33 sampling
>> Sensor 34 sampling
>> Sensor 35 sampling
>> Sensor 36 sampling
>> Sensor 37 sampling
>> Sensor 38 sampling
>> Sensor 39 sampling
>> Sensor 40 sampling
>> Sensor 41 sampling
>> Sensor 42 sampling
>> Sensor 43 sampling
>> Sensor 44 sampling
>> Sensor 45 sampling
>> Sensor 46 sampling
>> Sensor 47 sampling
>> Sensor 48 sampling
>> Sensor 49 sampling
>> Sensor 50 sampling
>> Sensor 51 sampling
>> Sensor 52 sampling
>> Sensor 53 sampling
>> Sensor 54 sampling
>> Sensor 55 sampling
>> Sensor 56 sampling
>> Sensor 57 sampling
>> Sensor 58 sampling
>> Sensor 59 sampling
>> Sensor 60 sampling
>> Sensor 61 sampling
>> Sensor 62 sampling
>> Sensor 63 sampling
>> Sensor 64 sampling
>> Sensor 65 sampling
>> Sensor 66 sampling
>> Sensor 67 sampling
>> Sensor 68 sampling
>> Sensor 69 sampling
>> Sensor 70 sampling
>> Sensor 71 sampling
